Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:673(consolidate)
        7    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4892(_sanitize_column)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:6032(get_indexer_for)
        8    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:507(validate_categories)
        6    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\sre_compile.py:759(compile)
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\sorting.py:378(nargsort)
        6    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:5707(isna)
        5    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:527(_concatenate_join_units)
        6    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:7765(isna)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:909(get_code)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:280(_get_filepath_or_buffer)
      160    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\construction.py:399(extract_array)
     7943    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\algorithms.py:593(factorize)
       68    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\_config\config.py:262(__call__)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:351(_concatenate_chunks)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:4773(_reduce)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:6233(_cmp_method)
      287    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3754(get_loc)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:586(check_parent_directory)
       68    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\_config\config.py:134(_get_option)
      431    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1591(_is_dtype_type)
        5    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\construction.py:627(_extract_index)
       90    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\abc.py:96(__instancecheck__)
       42    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:705(_maybe_mask_setitem_value)
       52    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2172(new_block)
      226    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5304(__getitem__)
       84    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1333(_convert_to_indexer)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3696(T)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3565(transpose)
       26    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\warnings.py:130(filterwarnings)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:120(maybe_convert_platform)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:892(_convert_tuple)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11598(any)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11166(any)
       90    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        9    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\construction.py:588(_homogenize)
   162/22    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\abc.py:100(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11108(_logical_func)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1592(_getitem_axis)
       77    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\construction.py:744(_try_cast)
   162/22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1629(_get_slice_axis)
       30    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1130(_is_scalar_access)
       28    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1934(from_array)
        9    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2253(_form_blocks)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:5077(reindex)
       33    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5464(equals)
       59    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arraylike.py:104(__radd__)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5044(reindex)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       69    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\numeric.py:290(full)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:896(<listcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\pathlib.py:1417(is_dir)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arraylike.py:124(__truediv__)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:6258(copy)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:648(_get_concat_axis)
       86    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:661(name)
     2470    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:4097(_slice)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\pathlib.py:1193(stat)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:708(_concat_indexes)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5377(append)
      101    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:1267(_set_as_cached)
      634    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
       77    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\base.py:54(shape)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:638(_get_comb_axis)
      176    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       96    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:286(is_dtype)
       39    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:588(_dtype_to_subclass)
       80    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:501(is_categorical_dtype)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\range.py:887(_concat)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:6576(_maybe_cast_listlike_indexer)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\api.py:78(get_objs_combined_axis)
       38    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:565(_set_axis)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\sre_parse.py:937(parse)
       11    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:635(_is_uniform_join_units)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5407(_concat)
       42    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:206(_standardize_fill_value)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arraylike.py:48(__lt__)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\api.py:122(_get_combined_index)
       68    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\_config\config.py:116(_get_single_key)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:966(__getitem__)
      298    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:564(_get_axis)
      220    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1891(__init__)
      166    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:708(_values)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4132(_iset_item_mgr)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1815(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:1897(to_frame)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1444(close)
      134    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1246(is_float_dtype)
       60    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       61    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\_dtype.py:344(_name_get)
       73    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:690(_simple_new)
      106    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:7372(maybe_extract_name)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\subprocess.py:1101(_close_pipe_fds)
      114    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:162(is_object_dtype)
        9    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\ops\array_ops.py:185(arithmetic_op)
       92    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1725(validate_all_hashable)
      7/6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\sre_parse.py:435(_parse_sub)
       98    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5254(__contains__)
       67    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:1255(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:2318(readprofile)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\common.py:303(maybe_iterable_to_list)
       12    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\ops\array_ops.py:136(_na_arithmetic_op)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\algorithms.py:530(factorize_array)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arraylike.py:60(__ge__)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\sre_compile.py:598(_code)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:2522(check_bool_indexer)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:50(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:542(<listcomp>)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\nanops.py:496(nanany)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
       44    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:444(get_reindexed_values)
       64    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1278(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\vocabulary\src\interro.py:289(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:6045(dtypes)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       18    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\api.py:204(union_indexes)
      287    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      8/7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\sre_parse.py:493(_parse)
       24    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:221(make_block)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1038(argsort)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:199(<listcomp>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\util\_decorators.py:345(wrapper)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\multi.py:302(__new__)
      296    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:172(blknos)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      168    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:188(is_array_like)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:278(_get_mgr_concatenation_plan)
       62    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1143(iget_values)
       32    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:1144(rename_axis)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:616(copy)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:129(newfunc)
       28    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:645(na_value_for_dtype)
       51    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:699(is_valid_na_for_dtype)
       93    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:684(is_integer_dtype)
      166    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2069(internal_values)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\format.py:566(__init__)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:71(concat_compat)
       12    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\computation\expressions.py:225(evaluate)
       44    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2324(<lambda>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:413(split_and_operate)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\algorithms.py:1795(safe_sort)
        4    0.000    0.000    0.000    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
      231    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\base.py:56(<genexpr>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      462    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:925(__len__)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:2036(_setitem_single_block)
       65    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\warnings.py:181(_add_filter)
       20    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vstack)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:144(_initialize_columns)
       12    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\computation\expressions.py:93(_evaluate_numexpr)
        7    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:6285(_should_compare)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:1468(_options)
      508    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      197    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexers\utils.py:66(is_list_like_indexer)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexers\utils.py:294(length_of_indexer)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       32    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\_methods.py:55(_any)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:1767(parse_args)
       22    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:200(fill_value)
       21    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:160(_consolidate_key)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:1774(parse_known_args)
       54    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2266(ensure_block_shape)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:1068(_get_values)
        3    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:246(_maybe_reindex_columns_na_proxy)
       22    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\subprocess.py:1134(_get_handles)
       35    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:326(_get_take_nd_function)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:1323(_set_axis_name)
      297    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:325(is_hashable)
        5    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:605(_get_empty_dtype)
       15    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2305(_stack_arrays)
  268/258    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11777(sum)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(insert)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\shape_base.py:223(vstack)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:843(set_inplace)
       69    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        5    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2047(convert)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11492(sum)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\contextlib.py:429(callback)
       27    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:660(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:1809(_parse_known_args)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:136(is_url)
       35    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:554(_take_preprocess_indexer_and_fill_value)
       33    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1763(construct_1d_object_array_from_listlike)
       12    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\computation\expressions.py:64(_evaluate_standard)
       73    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2091(maybe_coerce_values)
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:11443(_min_count_stat_function)
       44    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:770(_ensure_listlike_indexer)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\lib\function_base.py:5250(insert)
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:415(is_na)
       19    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
        2    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:6422(infer_objects)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\nanops.py:261(_get_values)
       87    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2120(get_block_type)
       20    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:460(array_equivalent)
        6    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexers\utils.py:430(check_array_indexer)
       49    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1917(from_blocks)
        8    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\urllib\parse.py:369(urlparse)
      180    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\flags.py:49(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:224(stringify_path)
       39    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\warnings.py:165(simplefilter)
       40    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:228(set_axis)
       56    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4271(_clear_item_cache)
       60    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:101(_cnfmerge)
        4    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:268(_save_header)
       14    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:705(_combine_concat_plans)
      203    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:827(iget)
       98    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1433(is_extension_array_dtype)
       30    0.000    0.000    0.000    0.000 C:\Users\benoi\anaconda3\lib\site-packages\numpy\core\getlimits.py:668(__init__)
