Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.010    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:806(__setitem__)
32633/25583    0.004    0.000    0.010    0.000 {built-in method builtins.isinstance}
       32    0.000    0.000    0.009    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:609(__init__)
        4    0.000    0.000    0.009    0.002 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1762(read)
        9    0.000    0.000    0.009    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
       44    0.000    0.000    0.008    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1658(_setitem_with_indexer)
        1    0.000    0.000    0.008    0.008 C:\Users\benoi\vocabulary\src\interro.py:305(copy_well_known_words)
        1    0.000    0.000    0.008    0.008 C:\Users\benoi\vocabulary\src\interro.py:344(save_words)
     6970    0.001    0.000    0.007    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:137(is_re)
  148/138    0.000    0.000    0.006    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:342(__init__)
        4    0.005    0.001    0.005    0.001 {pandas._libs.writers.write_csv_rows}
        8    0.000    0.000    0.005    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:645(get_handle)
      103    0.000    0.000    0.005    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1059(__getitem__)
       40    0.000    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1799(_setitem_with_indexer_split_path)
     6979    0.002    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\typing.py:768(__instancecheck__)
        4    0.000    0.000    0.004    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:218(read)
       40    0.000    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1957(_setitem_single_column)
        1    0.000    0.000    0.004    0.004 C:\Users\benoi\vocabulary\src\interro.py:351(save_performances)
        2    0.000    0.000    0.004    0.002 C:\Users\benoi\vocabulary\src\interro.py:137(__init__)
  125/121    0.000    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:7277(ensure_index)
        4    0.003    0.001    0.004    0.001 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
       82    0.000    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3758(__getitem__)
        4    0.000    0.000    0.004    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:497(to_native_types)
       40    0.000    0.000    0.004    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1368(column_setitem)
       15    0.000    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:538(to_native_types)
      110    0.000    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4274(_get_item_cache)
       15    0.000    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2282(to_native_types)
       59    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
    64/39    0.001    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:430(__new__)
        4    0.000    0.000    0.003    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1395(__init__)
      101    0.000    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3703(_ixs)
        2    0.000    0.000    0.003    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:2081(_setitem_with_indexer_missing)
        4    0.000    0.000    0.003    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1703(_make_engine)
       26    0.000    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:708(_with_infer)
        1    0.000    0.000    0.003    0.003 C:\Users\benoi\vocabulary\src\interro.py:357(save_words_count)
     6979    0.002    0.000    0.003    0.000 C:\Users\benoi\anaconda3\lib\typing.py:771(__subclasscheck__)
      3/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
      3/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        3    0.000    0.000    0.003    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:146(concat)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\vocabulary\src\interro.py:322(delete_known_words)
        2    0.000    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:9770(_append)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\vocabulary\src\interro.py:173(__init__)
       12    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:1147(_is_binary_mode)
      102    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:108(isna)
        4    0.002    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:49(__init__)
      102    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:191(_isna)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:1168(_get_binary_io_classes)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\vocabulary\src\interro.py:259(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\anaconda3\lib\site-packages\pandas\compat\_optional.py:90(import_optional_dependency)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\anaconda3\lib\importlib\__init__.py:109(import_module)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
        7    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3955(__setitem__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
