Date;Nombre de mots
29/12/2022;439
30/12/2022;446
01/01/2023;452
10/01/2023;482
15/01/2023;499
22/01/2023;535
05/02/2023;570
12/02/2023;585
19/02/2023;595
26/02/2023;604
